Serial Number,Price,Product
1,"32,999","OnePlus 7 (Mirror Grey, 6GB RAM, 128GB Storage)"
2,"27,999","OnePlus 6T (Mirror Black, 8GB RAM, 128GB Storage)"
3,"41,999","OnePlus 6T (Midnight Black, 8GB RAM, 128GB Storage)"
4,"52,999","OnePlus 7 Pro (Almond, 8GB RAM, 256GB Storage)"
5,"37,999","OnePlus 7 (Mirror Grey, 8GB RAM, 256GB Storage)"
6,"37,999","OnePlus 7 (Red, 8GB RAM, 256GB Storage)"
7,"41,999","OnePlus 6T McLaren Limited Edition (Speed Orange, 10GB RAM,256GB Storage)"
8,"50,999","(Renewed) OnePlus 6T (Mirror Black, 6GB RAM, 128GB Storage)"
9,"24,999","Vivo V15 (Aqua Blue, 6GB RAM, 64GB Storage) with No Cost EMI/Additional Exchange Offers"
10,"37,999","OPPO A5S (Gold, 4GB RAM, 64GB Storage) with No Cost EMI/Additional Exchange Offers"
11,"19,990","(Renewed) OnePlus 5T (Midnight Black, 64GB)"
12,"26,990","(Renewed) OnePlus 6 (Mirror Black, 6GB RAM, 64GB Storage)"
13,"12,990","OnePlus 7 Pro (Nebula Blue, 8GB RAM, 256GB Storage)"
14,"15,990","OnePlus 7 Pro (Mirror Grey, 6GB RAM, 128GB Storage)"
15,"23,988","OnePlus 7 Pro (Nebula Blue, 12GB RAM, 256GB Storage)"
16,"37,990","OnePlus 7 Pro (Mirror Grey, 8GB RAM, 256GB Storage)"
17,"52,999","(Renewed) OnePlus X (Black, 16GB)"
18,"48,999","OnePlus 7 Pro Nylon Bumper Case (Nylon)"
19,"57,999","Anti-Lost Touch Screen Bluetooth M3 Smart Watch with Camera SIM Card Slot and Pedometer Smart Health, Sleep Monitoring, Better Display, Loud Speaker, Microphone (Multicolor)"
20,"52,999","Vivo V15 Pro (Topaz Blue, 8GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers"
